,FIELD,CODE,TICKER
0,RI,CN,U:CN
1,RI,FM,U:FM
2,RI,FV,@FV
3,RI,IG,U:IG
4,RI,JO,U:JO
5,RI,LD,U:LD
6,RI,MJ,U:MJ
7,RI,PY,@PY
8,RI,SH,U:SH
9,RI,VB,U:VB
10,RI,VO,U:VO
11,RI,VT,U:VT
12,RI,VV,U:VV
13,RI,XT,@XT
14,RI,AAA,U:AAA
15,RI,AFK,U:AFK
16,RI,AGG,U:AGG
17,RI,AGQ,U:AGQ
18,RI,AGT,U:AGT
19,RI,AGZ,U:AGZ
20,RI,AIA,@AIA
21,RI,AIQ,@AIQ
22,RI,AMJ,U:AMJ
23,RI,AMU,U:AMU
24,RI,AOA,U:AOA
25,RI,AOK,U:AOK
26,RI,AOM,U:AOM
27,RI,AOR,U:AOR
28,RI,ARB,U:ARB
29,RI,BAB,U:BAB
30,RI,BAL,U:BAL
31,RI,BAR,U:BAR
32,RI,BBC,U:BBC
33,RI,BBH,@BBH
34,RI,BBP,U:BBP
35,RI,BCD,U:BCD
36,RI,BCI,U:BCI
37,RI,BCM,U:BCM
38,RI,BIB,@BIB
39,RI,BIL,U:BIL
40,RI,BIS,@BIS
41,RI,BIV,U:BIV
42,RI,BJK,@BJK
43,RI,BKF,U:BKF
44,RI,BLV,U:BLV
45,RI,BND,@BND
46,RI,BNO,U:BNO
47,RI,BRF,U:BRF
48,RI,BSV,U:BSV
49,RI,BUG,@BUG
50,RI,BUL,U:BUL
51,RI,BWX,U:BWX
52,RI,BWZ,U:BWZ
53,RI,BZQ,U:BZQ
54,RI,CDC,@CDC
55,RI,CDL,@CDL
56,RI,CEW,U:CEW
57,RI,CEY,@CEY
58,RI,CEZ,@CEZ
59,RI,CFA,@CFA
60,RI,CFO,@CFO
61,RI,CGW,U:CGW
62,RI,CHB,@CHB
63,RI,CID,@CID
64,RI,CIL,@CIL
65,RI,CIZ,@CIZ
66,RI,CMF,U:CMF
67,RI,COM,U:COM
68,RI,COW,U:COW
69,RI,CPI,U:CPI
70,RI,CSA,@CSA
71,RI,CSB,@CSB
72,RI,CSD,U:CSD
73,RI,CSF,@CSF
74,RI,CSM,U:CSM
75,RI,CUT,U:CUT
76,RI,CVY,U:CVY
77,RI,CWB,U:CWB
78,RI,CWI,U:CWI
79,RI,CWS,U:CWS
80,RI,CYB,U:CYB
81,RI,CZA,U:CZA
82,RI,DAX,@DAX
83,RI,DBA,U:DBA
84,RI,DBB,U:DBB
